Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
1710000.0,14031.875,1640.135,2865.7,4505.835
1720000.0,13890.281,2347.8,3725.85,6073.65
1730000.0,10794.844,1832.965,2785.2,4618.165
1740000.0,9780.312,1135.365,1513.0,2648.365
1750000.0,11647.016,1454.075,2260.65,3714.7250000000004
1760000.0,8730.094,655.015,732.4,1387.415
1770000.0,9888.547,937.01,1635.3,2572.31
1780000.0,12215.219,1902.86,2869.1,4771.96
1790000.0,12786.484,2191.295,3156.75,5348.045
1800000.0,11169.031,2058.74,3089.35,5148.09
1810000.0,8891.094,751.945,1082.7,1834.645
1820000.0,11108.328,1226.77,1960.5,3187.27
1830000.0,8410.5,517.18,650.6,1167.78
1840000.0,9012.656,615.085,1190.4,1805.4850000000001
1850000.0,11464.016,1631.185,2434.1,4065.285
1860000.0,12803.094,2222.195,3117.5,5339.695
1870000.0,9691.812,1423.43,2294.75,3718.1800000000003
1880000.0,8864.75,749.0,1104.35,1853.35
1890000.0,12000.672,1548.44,2526.7,4075.14
1900000.0,8811.453,651.435,807.3,1458.735
1910000.0,9863.328,902.035,1651.8,2553.835
1920000.0,12043.812,1833.175,2767.45,4600.625
1930000.0,12885.109,2220.9,3189.55,5410.450000000001
1940000.0,11165.812,2033.55,3079.35,5112.9
1950000.0,9051.969,816.59,1155.55,1972.1399999999999
1960000.0,11197.641,1291.725,1989.4,3281.125
1970000.0,9141.438,805.46,978.75,1784.21
1980000.0,11694.922,996.405,1857.9,2854.3050000000003
1990000.0,13477.078,1455.835,2504.45,3960.285
2000000.0,13230.062,2077.685,3374.45,5452.135
2010000.0,10226.234,1603.005,2448.95,4051.955
2020000.0,9769.75,1124.14,1499.0,2623.1400000000003
2030000.0,11040.438,1251.205,1868.15,3119.355
2040000.0,8823.922,684.46,786.7,1471.16
2050000.0,9590.766,832.52,1469.05,2301.5699999999997
2060000.0,12236.719,1897.98,2902.3,4800.280000000001
2070000.0,12446.188,2039.185,2968.65,5007.835
2080000.0,11105.109,1999.355,3074.95,5074.305
2090000.0,8908.438,776.885,1109.45,1886.335
2100000.0,10815.281,1159.27,1746.2,2905.4700000000003
2110000.0,8692.109,592.58,749.05,1341.63
2120000.0,9908.703,913.765,1671.85,2585.615
2130000.0,11580.844,1702.97,2488.15,4191.12
2140000.0,13311.703,2353.755,3508.2,5861.955
2150000.0,10176.797,1525.745,2644.3,4170.045
2160000.0,9142.438,834.955,1206.7,2041.6550000000002
2170000.0,11243.953,1332.895,1987.8,3320.6949999999997
2180000.0,8617.297,602.27,759.85,1362.12
2190000.0,9175.312,694.075,1271.85,1965.925
2200000.0,12161.438,1904.0,2800.6,4704.6
2210000.0,12293.984,1952.91,2884.6,4837.51
2220000.0,10816.734,1916.22,2851.25,4767.47
2230000.0,8950.281,816.335,1124.9,1941.2350000000001
2240000.0,11975.453,1573.395,2478.8,4052.195
2250000.0,9227.328,838.13,1016.05,1854.1799999999998
2260000.0,12007.281,1103.685,2062.95,3166.6349999999998
2270000.0,13411.594,1475.53,2491.0,3966.5299999999997
2280000.0,12662.25,1819.83,3078.45,4898.28
2290000.0,10711.297,1792.32,2732.25,4524.57
2300000.0,9469.5,1002.69,1350.05,2352.74
2310000.0,10886.922,1168.515,1793.0,2961.5150000000003
2320000.0,8906.312,742.57,838.65,1581.22
2330000.0,9594.516,837.93,1442.6,2280.5299999999997
2340000.0,12376.375,1980.155,2955.25,4935.405
2350000.0,12956.578,2208.2,3307.8,5516.0
2360000.0,10353.312,1768.965,2570.35,4339.315
2370000.0,8544.969,633.325,939.2,1572.525
2380000.0,11083.203,1211.06,1958.0,3169.06
2390000.0,8778.062,637.42,801.95,1439.37
2400000.0,9161.781,683.565,1231.9,1915.4650000000001
2410000.0,12360.391,1949.795,2955.95,4905.745
2420000.0,12534.688,2047.675,3030.55,5078.225
2430000.0,9521.688,1337.355,2208.55,3545.905
2440000.0,8677.312,669.465,991.05,1660.5149999999999
2450000.0,10847.219,1147.545,1787.8,2935.3450000000003
2460000.0,8927.516,709.985,864.8,1574.7849999999999
2470000.0,9689.297,830.55,1549.25,2379.8
2480000.0,11778.703,1774.785,2594.25,4369.035
2490000.0,12099.094,1922.3,2731.55,4653.85
2500000.0,10449.094,1809.8,2612.5,4422.3
2510000.0,8956.844,771.925,1078.75,1850.675
2520000.0,11748.453,1448.81,2376.5,3825.31
2530000.0,9289.672,882.515,1054.1,1936.6149999999998
2540000.0,11281.062,875.935,1564.5,2440.435
2550000.0,13078.094,1346.615,2302.1,3648.715
2560000.0,13960.406,2301.47,3868.5,6169.969999999999
2570000.0,10783.266,1759.435,2839.4,4598.835
2580000.0,9553.891,1056.31,1394.15,2450.46
2590000.0,11264.422,1306.585,2039.2,3345.785
2600000.0,8921.844,761.97,862.45,1624.42
2610000.0,10152.969,987.855,1853.4,2841.255
2620000.0,11896.0,1842.08,2617.45,4459.53
2630000.0,12720.859,2198.655,3091.45,5290.105
2640000.0,9903.484,1591.675,2300.55,3892.2250000000004
2650000.0,8985.734,768.385,1117.95,1886.335
2660000.0,10646.328,1094.355,1626.4,2720.755
2670000.0,8968.188,705.985,893.55,1599.5349999999999
2680000.0,10397.094,1098.885,1970.6,3069.4849999999997
2690000.0,12228.375,1977.8,2796.0,4773.8
2700000.0,12808.938,2241.29,3120.15,5361.4400000000005
2710000.0,9425.0,1227.73,2208.6,3436.33
2720000.0,8772.547,712.75,1029.0,1741.75
2730000.0,11265.078,1304.975,2039.25,3344.225
2740000.0,9014.0,730.97,914.35,1645.3200000000002
2750000.0,9841.516,927.825,1586.1,2513.925
2760000.0,12109.5,1894.1,2754.05,4648.15
2770000.0,12913.094,2245.23,3211.4,5456.63
2780000.0,11587.609,2142.1,3298.55,5440.65
2790000.0,9067.578,817.365,1141.8,1959.165
2800000.0,11495.516,1384.23,2194.9,3579.13
2810000.0,9232.938,879.29,1046.1,1925.3899999999999
2820000.0,11027.453,835.025,1412.7,2247.725
2830000.0,13790.656,1527.25,2706.3,4233.55
2840000.0,14120.234,2404.31,3916.5,6320.8099999999995
2850000.0,10922.781,1869.005,2853.55,4722.555
2860000.0,9569.422,1016.36,1397.3,2413.66
2870000.0,12020.812,1583.58,2507.05,4090.63
2880000.0,8988.125,767.15,868.2,1635.35
2890000.0,10373.547,1113.345,1941.75,3055.0950000000003
2900000.0,12538.219,2080.415,3021.35,5101.764999999999
2910000.0,12808.344,2206.99,3151.8,5358.79
2920000.0,10435.0,1798.78,2632.35,4431.13
2930000.0,8488.469,618.66,934.6,1553.26
2940000.0,11235.188,1305.845,2008.45,3314.295
2950000.0,8701.078,632.1,753.2,1385.3000000000002
2960000.0,9680.156,819.135,1553.8,2372.935
2970000.0,11292.297,1647.865,2321.85,3969.715
2980000.0,12026.141,1934.125,2706.8,4640.925
2990000.0,9678.5,1379.425,2306.4,3685.825
3000000.0,8694.781,664.745,986.35,1651.095
3010000.0,11387.266,1384.26,2084.35,3468.6099999999997
3020000.0,8902.219,706.69,842.75,1549.44
3030000.0,9702.703,851.73,1541.5,2393.23
3040000.0,12469.531,2020.25,3010.6,5030.85
3050000.0,12654.422,2106.425,3093.75,5200.175
3060000.0,11511.312,2166.63,3288.65,5455.280000000001
3070000.0,8923.875,759.805,1060.15,1819.955
3080000.0,11526.781,1410.9,2204.0,3614.9
3090000.0,8991.219,831.695,977.2,1808.895
