Time,count = reset,count = 0,count = 1,count = 2,count = 3,count = 4,count = 5,count = 6,count = 7,count = 8,count = 9,count = 10,count = 11,count = 12,count = 13,count = 14,count = 15,count = 16,count = 17,count = 18,count = 19,count = 20,count = 21,count = 22,count = 23,count = 24,count = 25,count = 26,count = 27,count = 28,count = 29,count = 30
1140000.0,,12497.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150000.0,,14525.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160000.0,,13878.391000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170000.0,,10181.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180000.0,,9883.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190000.0,,10962.921999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200000.0,,8927.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210000.0,,8847.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220000.0,,12722.953000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230000.0,,12867.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240000.0,,10167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000.0,,9053.796999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260000.0,,11678.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270000.0,,8924.780999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280000.0,,9546.953000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290000.0,,11526.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300000.0,,13833.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310000.0,,9141.671999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320000.0,,8883.796999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330000.0,,10751.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340000.0,,9084.296999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350000.0,,9296.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360000.0,,12788.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370000.0,,13033.016000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380000.0,,10473.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390000.0,,9058.905999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400000.0,,12247.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410000.0,,9481.171999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420000.0,,11627.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430000.0,,13871.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440000.0,,13799.266000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450000.0,,10169.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460000.0,,9738.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470000.0,,11565.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480000.0,,9060.905999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490000.0,,9629.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500000.0,,12591.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510000.0,,13027.828000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520000.0,,10762.828000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530000.0,,9001.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540000.0,,11074.671999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550000.0,,9131.171999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560000.0,,10342.796999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570000.0,,12777.046999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580000.0,,13001.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590000.0,,9469.671999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000.0,,9022.421999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610000.0,,11481.171999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620000.0,,9052.405999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630000.0,,10280.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640000.0,,12040.421999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650000.0,,13469.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660000.0,,11418.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670000.0,,9062.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680000.0,,12121.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690000.0,,9478.655999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700000.0,,11390.858999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710000.0,,14031.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720000.0,,13890.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730000.0,,10794.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740000.0,,9780.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750000.0,,11647.016000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760000.0,,8730.094000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770000.0,,9888.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780000.0,,12215.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790000.0,,12786.483999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800000.0,,11169.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810000.0,,8891.094000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820000.0,,11108.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830000.0,,8410.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840000.0,,9012.655999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850000.0,,11464.016000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860000.0,,12803.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870000.0,,9691.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880000.0,,8864.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890000.0,,12000.671999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900000.0,,8811.453000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910000.0,,9863.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920000.0,,12043.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930000.0,,12885.108999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940000.0,,11165.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950000.0,,9051.969000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960000.0,,11197.641000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970000.0,,9141.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980000.0,,11694.921999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990000.0,,13477.078000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000000.0,,13230.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010000.0,,10226.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020000.0,,9769.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030000.0,,11040.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040000.0,,8823.921999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050000.0,,9590.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060000.0,,12236.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070000.0,,12446.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080000.0,,11105.108999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090000.0,,8908.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100000.0,,10815.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110000.0,,8692.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120000.0,,9908.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130000.0,,11580.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140000.0,,13311.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150000.0,,10176.796999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160000.0,,9142.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170000.0,,11243.953000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180000.0,,8617.296999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190000.0,,9175.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200000.0,,12161.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210000.0,,12293.983999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220000.0,,10816.733999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230000.0,,8950.280999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240000.0,,11975.453000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250000.0,,9227.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260000.0,,12007.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270000.0,,13411.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280000.0,,12662.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290000.0,,10711.296999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300000.0,,9469.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310000.0,,10886.921999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320000.0,,8906.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330000.0,,9594.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340000.0,,12376.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000.0,,12956.578000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000.0,,10353.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370000.0,,8544.969000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380000.0,,11083.203000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390000.0,,8778.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400000.0,,9161.780999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410000.0,,12360.391000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420000.0,,12534.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430000.0,,9521.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440000.0,,8677.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450000.0,,10847.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460000.0,,8927.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470000.0,,9689.296999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480000.0,,11778.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490000.0,,12099.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500000.0,,10449.094000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510000.0,,8956.844000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520000.0,,11748.453000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530000.0,,9289.671999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540000.0,,11281.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550000.0,,13078.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560000.0,,13960.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570000.0,,10783.266000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580000.0,,9553.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590000.0,,11264.421999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600000.0,,8921.844000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610000.0,,10152.969000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620000.0,,11896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630000.0,,12720.858999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640000.0,,9903.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650000.0,,8985.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660000.0,,10646.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670000.0,,8968.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680000.0,,10397.094000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690000.0,,12228.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700000.0,,12808.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710000.0,,9425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720000.0,,8772.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730000.0,,11265.078000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740000.0,,9014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750000.0,,9841.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760000.0,,12109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770000.0,,12913.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780000.0,,11587.608999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790000.0,,9067.578000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800000.0,,11495.516000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810000.0,,9232.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820000.0,,11027.453000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2830000.0,,13790.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840000.0,,14120.233999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850000.0,,10922.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2860000.0,,9569.421999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2870000.0,,12020.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2880000.0,,8988.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890000.0,,10373.546999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900000.0,,12538.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910000.0,,12808.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920000.0,,10435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930000.0,,8488.469000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940000.0,,11235.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950000.0,,8701.078000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960000.0,,9680.155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970000.0,,11292.296999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980000.0,,12026.141000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990000.0,,9678.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000000.0,,8694.780999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000.0,,11387.266000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000.0,,8902.219000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030000.0,,9702.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040000.0,,12469.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050000.0,,12654.421999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060000.0,,11511.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070000.0,,8923.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080000.0,,11526.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090000.0,,8991.219000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100000.0,,11269.703000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110000.0,,13358.641000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120000.0,,13699.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130000.0,,10909.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140000.0,,9962.655999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150000.0,,11257.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
